Country Name En,Unit Name,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag,1999,1999 Flag,1998,1998 Flag,1997,1997 Flag,1996,1996 Flag,1995,1995 Flag,1994,1994 Flag,1993,1993 Flag,1992,1992 Flag,1991,1991 Flag,1990,1990 Flag,1989,1989 Flag,1988,1988 Flag,1987,1987 Flag,1986,1986 Flag,1985,1985 Flag,1984,1984 Flag,1983,1983 Flag,1982,1982 Flag,1981,1981 Flag,1980,1980 Flag,1979,1979 Flag,1978,1978 Flag,1977,1977 Flag,1976,1976 Flag,1975,1975 Flag,1974,1974 Flag,1973,1973 Flag,1972,1972 Flag,1971,1971 Flag,1970,1970 Flag,1969,1969 Flag,1968,1968 Flag,1967,1967 Flag,1966,1966 Flag,1965,1965 Flag,1964,1964 Flag,1963,1963 Flag,1962,1962 Flag,1961,1961 Flag,1960,1960 Flag,1959,1959 Flag,1958,1958 Flag,1957,1957 Flag,1956,1956 Flag,1955,1955 Flag,1954,1954 Flag,1953,1953 Flag,1952,1952 Flag,1951,1951 Flag,1950,1950 Flag
Albania,Tonnes - live weight,75,,60,,45,,43,,45,,41,,44,,39,,42,,95,,170,,73,,116,,116,,58,,43,,13,,2,,64,,70,,50,,30,,30,,14,,32,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Tonnes - live weight,3.767,,1.807,,10,,2.121,,1.076,,29,,4,,3,,4,,32,,122,,89,,9,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Tonnes - live weight,0,N,0,N,0,,0,,0,,0,,0,,0,N,0,,0,N,0,,0,N,0,,0,N,0,N,0,,1,,0,N,11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Croatia,Tonnes - live weight,14.969,,12,,9,,10,,8,,9,,6,,6,,7,,10,,12,,12,,10,,21,,17,,12,,3,,5,,2,,13,,22,,20,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Tonnes - live weight,1.994,,3.045,,3,,1,,1,,18,,4,,2,,3,,3,,1,,0,,1,,22,,0,,2,,3,,6,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Tonnes - live weight,258,,243,,296,,272,,314,,426,,873,,967,,969,,969,,1326,,1336,,1125,,1550,,1516,,1112,,942,,1404,,1336,,800,,626,,662,,559,,453,,727,,429,,,,419,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Tonnes - live weight,172.201,,191,,160,,136,,84,,95,,108,,104,,118,,163,,214,,194,,228,,279,,277,,251,,285,,239,,261,,251,,271,,279,,167,,167,,167,,179,,199,,984,,582,,560,,699,,752,,755,,722,,635,,765,,551,,629,,1082,,472,,431,,457,,511,,352,,387,,372,,388,,69,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Tonnes - live weight,324.6,,311,,276,,241,,348,,204,,242,,287,,274,,299,,339,,308,,462,,796,,1260,,812,,669,,551,,448,,280,,336,,263,,251,,361,,347,,392,,413,,412,,408,,215,,217,,437,,120,,76,,171,,67,,82,,77,,104,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,400,,400,,400,,500,,500,,500,,400,,400,,400,,300,,300,,300,,,,,,,,,,,,,,,,,
Israel,Tonnes - live weight,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,75,,155,,253,,226,,217,,166,,272,,158,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Tonnes - live weight,149.16,,165.8,,204,,237,,355,,315,,167,,160,,184,,154,,159,,163,,186,,205,,138,,156,,3318,,3412,,3428,,2735,,2195,,1881,,1889,,2030,,2481,,4633,,2528,,2127,,2116,,2003,,1540,,1614,,1997,,2570,,2427,,2815,,1544,,1131,,994,,1115,,1580,,1321,,1106,,1122,,824,,897,,877,,1327,,1245,,1063,,980,,700,,600,,600,,800,,700,,500,,400,,500,,600,,400,,300,,300,,0,,0,,0,,0,,0,,0,,0,,0,
Malta,Tonnes - live weight,0.089,,1.571,,0,N,0,N,0,N,0,N,0,,0,,0,,0,,0,,0,,0,,0,N,0,,0,,0,,0,,0,,0,N,0,N,15,,0,N,0,N,0,N,0,N,0,N,50,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Tonnes - live weight,2.579,,3,,4,,4,,3,,4,,3,,2,,3,,4,,4,,7,,4,,1,,1,,1,,2,,7,,4,,5,,1,,1,,0,,0,,0,,2,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Tonnes - live weight,685.63,,85.72,,48,,154,,104,,100,,108,,104,,132,,180,,208,,222,,162,,206,,158,,183,,174,,147,,240,,258,,197,,158,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Yugoslavia SFR,Tonnes - live weight,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,19,E,48,,39,,6,,1,,87,,2,,95,,27,,32,,26,,27,,23,,40,,39,,42,,46,,54,,54,,55,,100,,0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
